DATE,DAILY_TRANSACTION_COUNT,DAILY_ACTIVE_USERS
2022-11-18 00:00:00.000,439790,67344
2022-11-19 00:00:00.000,420535,53240
2022-11-20 00:00:00.000,524070,60669
2022-11-21 00:00:00.000,540724,52493
2022-11-22 00:00:00.000,421227,62725
2022-11-23 00:00:00.000,410397,52179
2022-11-24 00:00:00.000,403750,53980
2022-11-25 00:00:00.000,383859,52580
2022-11-26 00:00:00.000,357734,51100
2022-11-27 00:00:00.000,355957,49473
2022-11-28 00:00:00.000,421316,52191
2022-11-29 00:00:00.000,406199,54437
2022-11-30 00:00:00.000,544286,54188
2022-12-01 00:00:00.000,356116,50183
2022-12-02 00:00:00.000,367770,49810
2022-12-03 00:00:00.000,328168,46737
2022-12-04 00:00:00.000,338945,45524
2022-12-05 00:00:00.000,364755,52771
2022-12-06 00:00:00.000,388029,63297
2022-12-07 00:00:00.000,372722,56627
2022-12-08 00:00:00.000,62907,7626
